name,type,value,date
游戏X博士,171000,1,2018-08-14
鼻子上的蚂蚁AoN,158000,8,2018-08-14
乐小圈,124000,1,2018-08-14
道尔顿的蜜妮安,119000,1,2018-08-14
道尔顿的蜜妮安,92000,2,2018-08-14
鼻子上的蚂蚁AoN,89000,9,2018-08-14
鼻子上的蚂蚁AoN,81000,10,2018-08-14
豚首电竞,11000,1,2018-08-14
鼻子上的蚂蚁AoN,236000,11,2018-08-14
游戏X博士,171000,2,2018-08-14
鼻子上的蚂蚁AoN,158000,12,2018-08-14
钢铁超人马斯克,286000,1,2018-08-15
万能的师弟,152000,1,2018-08-15
上古玩家肉肉,73000,1,2018-08-15
璐希菲爾,89000,5,2018-08-15
波流音,11000,1,2018-08-15
没有头的学姐,19000,1,2018-08-15
抱枕枕枕枕枕头w,18000,1,2018-08-15
钢铁超人马斯克,286000,2,2018-08-15
万能的师弟,152000,2,2018-08-15
芒果冰OL,961000,1,2018-08-16
钢铁超人马斯克,231000,3,2018-08-16
漠☆漠,137000,1,2018-08-16
菇力帕君,88000,1,2018-08-16
A路人,74000,1,2018-08-16
傲幽,9381,2,2018-08-16
芒果冰OL,961000,2,2018-08-16
逗川kshadow,357000,1,2018-08-16
钢铁超人马斯克,231000,4,2018-08-16
漠☆漠,137000,2,2018-08-16
菇力帕君,88000,2,2018-08-16
鼻子上的蚂蚁AoN,258000,13,2018-08-17
泡吧TV,145000,9,2018-08-17
Hocules,50000,1,2018-08-17
揉瓶子Official,19000,9,2018-08-17
鼻子上的蚂蚁AoN,258000,14,2018-08-17
泡吧TV,145000,10,2018-08-17
熊猫大佬的不朽缰绳,136000,10,2018-08-18
鼻子上的蚂蚁AoN,57000,15,2018-08-18
洋葱可乐2018,22000,1,2018-08-18
血泪wowow,2947,1,2018-08-18
龙背上の膝盖君,745000,6,2018-08-18
二次元小百科,222000,1,2018-08-18
暴风铁卫,66000,2,2018-08-19
M恩赐解脱C,66000,4,2018-08-19
慕光Light,13000,1,2018-08-19
野原新之波,376000,1,2018-08-19
张徐晓,161000,1,2018-08-20
豚首电竞,13000,2,2018-08-20
张徐晓,161000,2,2018-08-20
直视深淵,63000,1,2018-08-21
律律酱吖,120000,1,2018-08-22
卡德加不在家,78000,3,2018-08-22
Sans_KK,233000,1,2018-08-23
Sans_KK,233000,2,2018-08-23
揉瓶子Official,10000,10,2018-08-24
三棵树下老科学,410000,17,2018-08-25
泡吧TV,130000,11,2018-08-25
三棵树下老科学,410000,18,2018-08-25
法尔·重炮,64000,2,2018-08-26
直视深淵,58000,2,2018-08-26
LeftMK,119000,1,2018-08-26
揉瓶子Official,8460,11,2018-08-26
奶茶超人,54000,1,2018-08-27
糖炒痞子,58000,9,2018-08-27
奶茶超人,83000,2,2018-08-28
暴风铁卫,62000,3,2018-08-28
蛋耍电竞,36000,1,2018-08-28
Cheezusology,11000,1,2018-08-28
蛋耍电竞,8522,2,2018-08-28
Ss爸老于,206000,1,2018-08-29
孤独的深蓝_,60000,1,2018-08-29
钉子是病娇,55000,1,2018-08-29
白痴毛,39000,1,2018-08-29
M恩赐解脱C,6434,5,2018-08-29
Ss爸老于,206000,2,2018-08-29
OTATO_martin,213000,1,2018-08-30
律律酱吖,12000,2,2018-08-30
OTATO_martin,213000,2,2018-08-30
这个奶妈可以莽,92000,1,2018-08-31
妖怪目,81000,4,2018-08-31
鼻子上的蚂蚁AoN,8530,16,2018-08-31
揉瓶子Official,19000,12,2018-09-03
妖怪目,136000,5,2018-09-04
妖怪目,136000,6,2018-09-04
暴风铁卫,47000,4,2018-09-05
蛋耍电竞,22000,3,2018-09-05
Moodybluess,38000,2,2018-09-06
I_m_Muse,8453,1,2018-09-07
卡菲尔撒,29000,1,2018-09-08
卡菲尔撒,11000,2,2018-09-08
蛋耍电竞,51000,4,2018-09-09
爽扬Soyoung,53000,2,2018-09-10
妖怪目,73000,7,2018-09-10
妖怪目,56000,8,2018-09-11
三棵树下老科学,163000,19,2018-09-12
三棵树下老科学,163000,20,2018-09-12
Moodybluess,93000,3,2018-09-14
AKA你贝嫂,865000,1,2018-09-14
听wo姐说,175000,1,2018-09-15
直视深淵,116000,3,2018-09-16
蛋耍电竞,92000,5,2018-09-16
pcyxjy,71000,1,2018-09-17
friedmango,21000,1,2018-09-17
珍珠乌龙奶茶,7329,1,2018-09-18
鼻子上的蚂蚁AoN,242000,17,2018-09-19
妖怪目,109000,9,2018-09-19
DN不是豆奶,94000,1,2018-09-19
自媒如是说,57000,1,2018-09-19
